,SYMBOL,NAME OF COMPANY,isactve,FUT,IDX
407,EMMBI,Emmbi Industries Limited,True,False,False
408,ENDURANCE,Endurance Technologies Limited,True,False,False
409,ENERGYDEV,Energy Development Company Limited,True,False,False
410,ENGINERSIN,Engineers India Limited,True,False,False
411,ENIL,Entertainment Network (India) Limited,True,False,False
412,EON,Eon Electric Limited,True,False,False
413,EQUITAS,Equitas Holdings Limited,True,False,False
414,ERIS,Eris Lifesciences Limited,True,False,False
415,EROSMEDIA,Eros International Media Limited,True,False,False
416,ESABINDIA,Esab India Limited,True,False,False
417,ESCORTS,Escorts Limited,True,False,False
418,ESSARSHPNG,Essar Shipping Limited,True,False,False
419,ESSDEE,Ess Dee Aluminium Limited,True,False,False
420,ESSELPACK,Essel Propack Limited,True,False,False
421,ESTER,Ester Industries Limited,True,False,False
422,EUROCERA,Euro Ceramics Limited,True,False,False
423,EUROMULTI,Euro Multivision Limited,True,False,False
424,EUROTEXIND,Eurotex Industries and Exports Limited,True,False,False
425,EVEREADY,Eveready Industries India Limited,True,False,False
426,EVERESTIND,Everest Industries Limited,True,False,False
427,EXCEL,Excel Realty N Infra Limited,True,False,False
428,EXCELCROP,Excel Crop Care Limited,True,False,False
429,EXCELINDUS,Excel Industries Limited,True,False,False
430,EXIDEIND,Exide Industries Limited,True,False,False
431,FACT,Fertilizers and Chemicals Travancore Limited,True,False,False
432,FAIRCHEM,Fairchem Speciality Limited,True,False,False
433,FCL,Fineotex Chemical Limited,True,False,False
434,FCONSUMER,Future Consumer Limited,True,False,False
435,FCSSOFT,FCS Software Solutions Limited,True,False,False
436,FDC,FDC Limited,True,False,False
437,FEDDERELEC,Fedders Electric and Engineering Limited,True,False,False
438,FEDERALBNK,The Federal Bank  Limited,True,False,False
439,FEL,Future Enterprises Limited,True,False,False
440,FELDVR,Future Enterprises Limited,True,False,False
441,FIEMIND,Fiem Industries Limited,True,False,False
442,FILATEX,Filatex India Limited,True,False,False
443,FINCABLES,Finolex Cables Limited,True,False,False
444,FINEORG,Fine Organic Industries Limited,True,False,False
445,FINPIPE,Finolex Industries Limited,True,False,False
446,FIRSTWIN,First Winner Industries Limited,True,False,False
447,FLEXITUFF,Flexituff International Limited,True,False,False
448,FLFL,Future Lifestyle Fashions Limited,True,False,False
449,FMGOETZE,Federal-Mogul Goetze (India) Limited.,True,False,False
450,FMNL,Future Market Networks Limited,True,False,False
451,FORTIS,Fortis Healthcare Limited,True,False,False
452,FOSECOIND,Foseco India Limited,True,False,False
453,FRETAIL,Future Retail Limited,True,False,False
454,FSC,Future Supply Chain Solutions Limited,True,False,False
455,FSL,Firstsource Solutions Limited,True,False,False
456,GABRIEL,Gabriel India Limited,True,False,False
457,GAEL,Gujarat Ambuja Exports Limited,True,False,False
458,GAIL,GAIL (India) Limited,True,False,False
459,GAL,Gyscoal Alloys Limited,True,False,False
460,GALAXYSURF,Galaxy Surfactants Limited,True,False,False
461,GALLANTT,Gallantt Metal Limited,True,False,False
